ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
AGAP005917-RA_3+	0.833663	NA	1.854268	1	AGAP005917-RA_3+,CUFF.1495.1_2+
CUFF.8445.13_3+	0.833663	NA	1.847783	1	CUFF.8445.13_3+,CUFF.8445.3_3+
AGAP006402-RA_3+	0.833663	NA	1.845944	1	AGAP006402-RA_3+,CUFF.1877.1_2+
ACOM033201-PA	0.833663	NA	1.832553	1	ACOM033201-PA,CUFF.6122.1_1+,CUFF.6122.3_1+,CUFF.6122.4_2+
AGAP012097-RA_2+	0.833663	NA	1.832179	1	AGAP012097-RA_2+,CUFF.9033.1_2+,CUFF.9033.2_2+,CUFF.9033.3_2+
TCONS_00015315_2+	0.833663	NA	1.830830	1	TCONS_00015315_2+
CUFF.11072.2_3+	0.833663	NA	1.809533	1	CUFF.11072.2_3+,CUFF.11072.6_3+,CUFF.11072.7_2+,CUFF.11072.9_2+
ACOM039748-PA	0.833663	NA	1.804548	1	ACOM039748-PA,AGAP006435-PA,AGAP006435-RA_1+,CUFF.1931.1_2+
CUFF.3373.1_1+	0.833663	NA	1.800671	1	CUFF.3373.1_1+
CUFF.15844.5_2+	0.833663	NA	1.792269	1	CUFF.15844.5_2+
AGAP001751-RA_3+	0.833663	NA	1.786895	1	AGAP001751-RA_3+,AGAP001751-RE_3+,CUFF.3645.10_1+,CUFF.3645.12_1+,CUFF.3645.13_3+,CUFF.3645.14_3+,CUFF.3645.1_3+,CUFF.3645.2_2+,CUFF.3645.4_3+,CUFF.3645.5_2+,CUFF.3645.6_1+,CUFF.3645.7_1+,CUFF.3645.8_2+,CUFF.3645.9_1+
ACOM028756-PA	0.833663	NA	1.781488	1	ACOM028756-PA
TCONS_00030778_1+	0.833663	NA	1.771723	1	TCONS_00030778_1+
CUFF.3715.1_1+	0.833663	NA	1.770098	1	CUFF.3715.1_1+,CUFF.3715.2_3+,CUFF.3715.3_1+
CUFF.7993.1_2+	0.833663	NA	1.761628	1	CUFF.7993.1_2+
AGAP009807-RA_2+	0.833663	NA	1.755619	1	AGAP009807-RA_2+,CUFF.11587.1_1+
CUFF.830.1_2+	0.833663	NA	1.753665	1	CUFF.830.1_2+,CUFF.830.2_3+,CUFF.830.3_2+,CUFF.830.4_2+
ACOM025526-PA	0.833663	NA	1.752971	1	ACOM025526-PA,AGAP007311-RA_1+,AGAP029814-PB,CUFF.2625.1_1+,CUFF.2625.2_2+,CUFF.2625.3_1+
CUFF.1574.1_1+	0.833663	NA	1.750789	1	CUFF.1574.1_1+
AGAP003428-PB	0.833663	NA	1.748330	1	AGAP003428-PB,AGAP003428-RB_3+,CUFF.5120.1_3+,CUFF.5120.2_3+,CUFF.5120.3_3+,CUFF.5120.4_2+,CUFF.5120.5_2+,CUFF.5120.6_1+,CUFF.5120.7_2+
AGAP011839-RA_1+	0.833663	NA	1.745720	1	AGAP011839-RA_1+,CUFF.8802.1_3+,CUFF.8802.2_3+
AGAP000630-PA	0.833663	NA	1.744295	1	AGAP000630-PA,AGAP000630-RA_1+,CUFF.16559.1_1+,CUFF.16559.2_3+,CUFF.16559.3_2+,CUFF.16559.4_2+,CUFF.16559.5_2+,CUFF.16559.6_1+
ACOM038883-PA	0.833663	NA	1.737545	1	ACOM038883-PA,AGAP005639-PA,AGAP005639-PB,AGAP005639-RA_1+,CUFF.1179.1_1+
ACOM038171-PA	0.833663	NA	1.727797	1	ACOM038171-PA,AGAP011202-PA,AGAP011202-RA_1+,CUFF.7923.1_3+,CUFF.7923.2_1+,CUFF.7923.3_3+
CUFF.7901.10_3+	0.833663	NA	1.726321	1	CUFF.7901.10_3+,CUFF.7901.11_1+,CUFF.7901.12_2+,CUFF.7901.13_2+,CUFF.7901.14_1+,CUFF.7901.15_2+,CUFF.7901.16_2+,CUFF.7901.1_1+,CUFF.7901.3_3+,CUFF.7901.4_3+,CUFF.7901.5_1+,CUFF.7901.6_2+,CUFF.7901.7_3+,CUFF.7901.8_2+,CUFF.7901.9_3+
ACOM036790-PA	0.833663	NA	1.725198	1	ACOM036790-PA,AGAP002566-PA,AGAP002566-RA_1+,AGAP002566-RB_1+,CUFF.4288.1_3+
ACOM031208-PA	0.833663	NA	1.724943	1	ACOM031208-PA,AGAP005715-PA,AGAP005715-PB,AGAP005715-RA_1+,AGAP005715-RB_3+
AGAP010078-RA_3+	0.833663	NA	1.720157	1	AGAP010078-RA_3+,CUFF.11901.1_2+
ACOM038474-PA	0.833663	NA	1.716903	1	ACOM038474-PA
CUFF.652.2_3+	0.833663	NA	1.713514	1	CUFF.652.2_3+,CUFF.652.3_1+
AGAP029234-PA	0.833663	NA	1.712662	1	AGAP029234-PA,AGAP029234-PB,CUFF.12092.10_3+,CUFF.12092.11_1+,CUFF.12092.12_3+,CUFF.12092.1_1+,CUFF.12092.2_1+,CUFF.12092.4_1+,CUFF.12092.6_1+,CUFF.12092.9_2+
AGAP029268-PA	0.833663	NA	1.709920	1	AGAP029268-PA
AGAP009354-PA	0.833663	NA	1.703743	1	AGAP009354-PA,AGAP009354-RA_1+,AGAP009356-PA,AGAP009356-RA_2+,AGAP009359-PA,AGAP009359-RA_1+,CUFF.10947.1_2+,CUFF.10947.2_3+,CUFF.10947.3_2+,CUFF.10947.4_2+,CUFF.10947.7_3+
AGAP001683-RA_1+	0.833663	NA	1.699545	1	AGAP001683-RA_1+,AGAP001683-RB_1+,CUFF.3498.10_1+,CUFF.3498.11_1+,CUFF.3498.1_1+,CUFF.3498.3_2+,CUFF.3498.4_3+,CUFF.3498.5_1+,CUFF.3498.7_2+,CUFF.3498.8_2+,CUFF.3498.9_2+
AGAP006540-PA	0.833663	NA	1.697523	1	AGAP006540-PA,AGAP006540-RA_1+,CUFF.2018.1_2+
AGAP002329-RA_1+	0.833663	NA	1.696854	1	AGAP002329-RA_1+,CUFF.4064.1_2+,CUFF.4064.2_3+,CUFF.4064.3_3+
AGAP001225-RA_2+	0.833663	NA	1.696124	1	AGAP001225-RA_2+,CUFF.3026.1_1+
AGAP010160-RA_1+	0.833663	NA	1.692453	1	AGAP010160-RA_1+,CUFF.12010.1_1+,CUFF.12010.2_3+
AGAP013746-RA_2+	0.833663	NA	1.688863	1	AGAP013746-RA_2+
CUFF.11369.1_2+	0.833663	NA	1.685728	1	CUFF.11369.1_2+,CUFF.11369.2_2+,CUFF.11369.3_1+
CUFF.4575.1_2+	0.833663	NA	1.684517	1	CUFF.4575.1_2+,CUFF.4575.3_2+
ACOM022394-PA	0.833663	NA	1.683170	1	ACOM022394-PA
ACOM039116-PA	0.833663	NA	1.679357	1	ACOM039116-PA,AGAP005470-PA,AGAP005470-RA_1+
CUFF.9568.4_2+	0.833663	NA	1.667844	1	CUFF.9568.4_2+
TCONS_00014568_2+	0.833663	NA	1.655823	1	TCONS_00014568_2+
TCONS_00021610_3+	0.833663	NA	1.652377	1	TCONS_00021610_3+
AGAP001238-RA_3+	0.833663	NA	1.650634	1	AGAP001238-RA_3+,AGAP001238-RB_3+,CUFF.3069.3_2+,CUFF.3069.4_2+,CUFF.3069.5_1+,CUFF.3069.6_2+,CUFF.3069.7_3+,CUFF.3069.8_2+
ACOM027471-PA	0.833663	NA	1.647530	1	ACOM027471-PA,AGAP010731-PA,AGAP010731-RA_2+,CUFF.7372.1_3+
TCONS_00011699_1+	0.833663	NA	1.647311	1	TCONS_00011699_1+
AGAP004348-RA_2+	0.833663	NA	1.634096	1	AGAP004348-RA_2+
sp|P40036|GIP2_YEAST	0.833663	NA	1.629305	1	sp|P40036|GIP2_YEAST
AGAP001255-RA_3+	0.833663	NA	1.628179	1	AGAP001255-RA_3+,CUFF.3059.1_3+,CUFF.3059.2_3+
AGAP005743-RA_2+	0.833663	NA	1.627856	1	AGAP005743-RA_2+
ACOM037486-PA	0.833663	NA	1.626098	1	ACOM037486-PA,AGAP002913-PA,AGAP002913-RA_2+,CUFF.4578.1_2+,CUFF.4578.2_2+
AGAP001858-RA_3+	0.833663	NA	1.623645	1	AGAP001858-RA_3+,CUFF.3612.1_1+,CUFF.3612.2_2+
CUFF.16877.5_1+	0.833663	NA	1.620333	1	CUFF.16877.5_1+
ACOM035616-PA	0.833663	NA	1.619685	1	ACOM035616-PA,AGAP003160-PA,AGAP003160-RA_1+,CUFF.4850.1_1+
AGAP011990-RA_2+	0.833663	NA	1.619616	1	AGAP011990-RA_2+
